seed,best_epoch,val_accuracy,val_macro_f1,val_weighted_f1,val_addition_f1,val_deletion_f1,val_substitution_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_addition_f1,test_deletion_f1,test_substitution_f1,checkpoint_path
42,1,0.6653620352250489,0.5390117825073445,0.684514859612238,0.18556701030927836,0.7161125319693095,0.7153558052434457,0.6126126126126126,0.4912862988762757,0.6377134600415689,0.14705882352941177,0.6484375,0.6783625730994152,ai-training\models\l2_arctic_error_type_cnn_attention_seed_42.pt
123,8,0.684931506849315,0.5658832949272649,0.6996318576663386,0.24444444444444444,0.7212276214833759,0.7319778188539742,0.6516516516516516,0.5340837443394714,0.662366326008224,0.22641509433962265,0.6848249027237354,0.6910112359550562,ai-training\models\l2_arctic_error_type_cnn_attention_seed_123.pt
2026,11,0.639921722113503,0.5374399368743291,0.6707817695507079,0.2047244094488189,0.71875,0.6888454011741683,0.6096096096096096,0.5119012769265443,0.6345963217981081,0.2077922077922078,0.6771653543307087,0.6507462686567164,ai-training\models\l2_arctic_error_type_cnn_attention_seed_2026.pt
