config,best_epoch,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,val_f1_addition,test_f1_addition,val_f1_deletion,test_f1_deletion,val_f1_substitution,test_f1_substitution
no_balancing,3,0.7475538160469667,0.5049695264885138,0.6966966966966966,0.4683350112661202,0.0,0.0,0.7111111111111111,0.6470588235294118,0.8037974683544303,0.7579462102689487
weighted_loss_only,8,0.7573385518590998,0.5106851336236643,0.6966966966966966,0.4671053993087892,0.0,0.0,0.7183908045977011,0.6410256410256411,0.8136645962732919,0.7602905569007264
weighted_sampler_only,5,0.7338551859099804,0.5779025402071403,0.6636636636636637,0.49543389378841884,0.22641509433962265,0.10256410256410256,0.7180851063829787,0.6612244897959184,0.7892074198988196,0.7225130890052356
weighted_loss_and_sampler,7,0.0684931506849315,0.05562845115083922,0.06006006006006006,0.04568338918297638,0.11194029850746269,0.10315186246418338,0.054945054945054944,0.03389830508474576,0.0,0.0
