run,note,val_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1,val_addition_f1,test_addition_f1,val_deletion_f1,test_deletion_f1,val_substitution_f1,test_substitution_f1
baseline,Original 3-class CNN baseline.,0.7571008814887366,0.5104166666666666,,0.6966463414634146,0.465736103290559,,0.0,0.0,0.71875,0.6341463414634145,0.8124999999999999,0.7630619684082625
v2,V2 3-class CNN.,0.6660137120470128,0.5369304333445035,,0.614329268292683,0.4835345641018409,,0.17647058823529413,0.12403100775193797,0.7040229885057471,0.6444444444444444,0.7302977232924693,0.6821282401091405
sampler_only,Clean v2 3-class CNN with WeightedRandomSampler only.,0.735812133072407,0.5811915806380359,0.7306848188523506,0.6666666666666666,0.4803246798131709,0.6665624041721367,0.24489795918367346,0.05405405405405406,0.7052341597796143,0.6554621848739496,0.7934426229508197,0.731457800511509
binary_stage_pipeline,Two-stage CNN pipeline.,0.6712328767123288,0.5588522087785784,0.697693188599288,0.5945945945945946,0.4662398605498603,0.6236848127752965,0.22807017543859648,0.1095890410958904,0.7138643067846607,0.6063348416289592,0.7346221441124781,0.6827956989247311
wav2vec2_encoder,Frozen Wav2Vec2 encoder with mean pooling and classifier head.,0.4774951076320939,0.40542914513973755,0.5027679322111859,0.4594594594594595,0.376944217719263,0.48727609045576337,0.1506849315068493,0.08602150537634409,0.5633802816901409,0.562962962962963,0.5022222222222222,0.48184818481848185
