run,scope,note,accuracy,accuracy_std,macro_f1,macro_f1_std,addition_f1,addition_f1_std,deletion_f1,deletion_f1_std,substitution_f1,substitution_f1_std
baseline_speaker_disjoint_cnn_attention,Mean held-out Vietnamese speaker,Previous speaker-disjoint baseline using original segment crop.,0.6579595658286235,0.020180180248590043,0.5021723371367783,0.020969857222687002,0.08811268882823449,0.03912862648346629,0.6880691898047951,0.02660623110926373,0.7303351327773053,0.028557364747595793
addition_focused_sampler,Mean held-out Vietnamese speaker,Documented previous result; full result JSON may not exist on this branch.,0.5689,0.0428,0.4715,0.0299,0.0958,0.0348,0.6347,0.0225,0.6839,0.0376
single_seed_context_0_10,"Seed 42, four held-out Vietnamese speakers",Previous context-window result before multi-seed confirmation.,0.6685384432657747,0.03492621348267362,0.5177904474312519,0.025173071444599675,0.124640341043893,0.02705520904889173,0.6801021103247671,0.03713335048612534,0.7486288909250955,0.02829914323158436
multi_seed_context_0_10_stability,All completed seed/fold runs,"Seeds=[42, 123, 2026]; held_out_speakers=['HQTV', 'PNV', 'THV', 'TLV'].",0.6618379490867214,0.032360105799998415,0.5169805788758174,0.03376186297452548,0.12508855275016623,0.047284997041536186,0.6819477982296814,0.03819704393728278,0.7439053856476043,0.03155254027339796
