split,error_type,class_id,support,predicted_count,correct,precision,recall,f1
val,addition,0,58,146,18,0.1232876712328767,0.3103448275862069,0.17647058823529413
val,deletion,1,354,342,245,0.716374269005848,0.692090395480226,0.7040229885057471
val,substitution,2,609,533,417,0.7823639774859287,0.6847290640394089,0.7302977232924693
test,addition,0,38,91,8,0.08791208791208792,0.21052631578947367,0.12403100775193797
test,deletion,1,222,228,145,0.6359649122807017,0.6531531531531531,0.6444444444444444
test,substitution,2,396,337,250,0.7418397626112759,0.6313131313131313,0.6821282401091405
