split,class,precision,recall,f1,support
validation,addition,0.07894736842105263,0.4,0.13186813186813187,30
validation,deletion,0.47398843930635837,0.4632768361581921,0.4685714285714286,177
validation,substitution,0.6935483870967742,0.4243421052631579,0.5265306122448979,304
test,addition,0.0989010989010989,0.47368421052631576,0.16363636363636364,19
test,deletion,0.4528301886792453,0.41739130434782606,0.4343891402714932,115
test,substitution,0.6397058823529411,0.4371859296482412,0.5194029850746269,199
