split,speaker_id,total_samples,accuracy,macro_f1,weighted_f1,addition_f1,deletion_f1,substitution_f1
val,ABA,38,0.6842105263157895,0.46909571909571907,0.7379813169286853,0.2222222222222222,0.36363636363636365,0.8214285714285714
val,ASI,30,0.7666666666666667,0.7158730158730159,0.7861904761904762,0.6,0.7142857142857143,0.8333333333333334
val,BWC,77,0.7142857142857143,0.4850390699447303,0.7450268427969973,0.0,0.6060606060606061,0.8490566037735849
val,EBVS,62,0.6451612903225806,0.4825757575757576,0.7025293255131965,0.3,0.375,0.7727272727272727
val,ERMS,4,1.0,1.0,1.0,0.0,0.0,1.0
val,HJK,10,0.9,0.47368421052631576,0.9473684210526315,0.0,0.0,0.9473684210526315
val,HKK,27,0.7777777777777778,0.5814814814814815,0.7954732510288067,0.4,0.4444444444444444,0.9
val,HQTV,144,0.6875,0.5496103896103897,0.711031746031746,0.12121212121212122,0.780952380952381,0.7466666666666667
val,LXC,99,0.7272727272727273,0.5231746031746032,0.7478018278018278,0.0,0.8095238095238095,0.76
val,MBMPS,4,1.0,1.0,1.0,0.0,1.0,1.0
val,NCC,48,0.5,0.31290849673202614,0.6261744281045752,0.16666666666666666,0.125,0.6470588235294118
val,NJS,3,1.0,1.0,1.0,0.0,0.0,1.0
val,PNV,93,0.7096774193548387,0.5479049252634158,0.7392953972381848,0.14285714285714285,0.7272727272727273,0.7735849056603774
val,RRBI,18,0.7777777777777778,0.5291375291375292,0.8045843045843046,0.0,0.7692307692307693,0.8181818181818182
val,SKA,171,0.6432748538011696,0.5528689723046043,0.6863178428064931,0.3492063492063492,0.5660377358490566,0.7433628318584071
val,SVBI,34,0.6764705882352942,0.43333333333333335,0.75,0.0,0.5,0.8
val,THV,138,0.6956521739130435,0.5711663415648235,0.7215604157688144,0.1935483870967742,0.7647058823529411,0.7552447552447552
val,TLV,136,0.6691176470588235,0.5348067352309134,0.6828201411352806,0.17391304347826086,0.7479674796747967,0.6825396825396826
val,TNI,27,0.4444444444444444,0.20512820512820515,0.6153846153846154,0.0,0.0,0.6153846153846154
val,TXHC,44,0.7045454545454546,0.6149860675722745,0.7397525410848295,0.36363636363636365,0.6896551724137931,0.7916666666666666
val,YBAA,38,0.3157894736842105,0.2713277061103148,0.37031542065867007,0.14285714285714285,0.2608695652173913,0.41025641025641024
val,YDCK,34,0.7058823529411765,0.35714285714285715,0.7878151260504201,0.0,0.25,0.8214285714285714
val,YKWK,38,0.7631578947368421,0.6121212121212122,0.80580997949419,0.2857142857142857,0.7142857142857143,0.8363636363636363
val,ZHAA,22,0.6818181818181818,0.48888888888888893,0.7454545454545454,0.0,0.6666666666666666,0.8
test,ABA,80,0.6875,0.4987505432420687,0.7283979791395045,0.3076923076923077,0.375,0.8135593220338984
test,ASI,4,1.0,1.0,1.0,0.0,0.0,1.0
test,BWC,77,0.6883116883116883,0.4761904761904762,0.7539888682745826,0.0,0.6285714285714286,0.8
test,ERMS,37,0.5945945945945946,0.312280701754386,0.7024182076813655,0.0,0.2,0.7368421052631579
test,HJK,9,1.0,1.0,1.0,0.0,0.0,1.0
test,HKK,15,0.5333333333333333,0.35555555555555557,0.5688888888888889,0.0,0.4,0.6666666666666666
test,HQTV,91,0.6703296703296703,0.5915889665889665,0.6792534388688234,0.375,0.717948717948718,0.6818181818181818
test,LXC,84,0.7738095238095238,0.656547619047619,0.7793792517006802,0.3,0.8125,0.8571428571428571
test,MBMPS,23,0.6956521739130435,0.43693693693693697,0.7267920094007051,0.0,0.5,0.8108108108108109
test,NCC,47,0.6170212765957447,0.4291300097751711,0.6653147813065452,0.0,0.5454545454545454,0.7419354838709677
test,NJS,25,0.84,0.6888888888888888,0.8653333333333333,0.5,0.6666666666666666,0.9
test,PNV,62,0.6774193548387096,0.4860792662954471,0.7269951290639561,0.0,0.6976744186046512,0.7605633802816901
test,RRBI,6,0.8333333333333334,0.45454545454545453,0.9090909090909091,0.0,0.0,0.9090909090909091
test,SVBI,7,0.7142857142857143,0.5166666666666667,0.7642857142857142,0.0,0.8,0.75
test,THV,90,0.6444444444444445,0.5367003367003367,0.6621773288439955,0.26666666666666666,0.6363636363636364,0.7070707070707071
test,TLV,90,0.5666666666666667,0.5134402695378305,0.5758539026831709,0.3333333333333333,0.6216216216216216,0.5853658536585366
test,TNI,8,0.5,0.2222222222222222,0.6666666666666666,0.0,0.0,0.6666666666666666
test,TXHC,42,0.38095238095238093,0.2607407407407408,0.4797883597883598,0.0,0.2222222222222222,0.56
test,YBAA,70,0.4857142857142857,0.3525950699863743,0.5886367255932474,0.2222222222222222,0.20512820512820512,0.6304347826086957
test,YDCK,18,0.8888888888888888,0.47058823529411764,0.9411764705882353,0.0,0.0,0.9411764705882353
test,YKWK,21,0.8571428571428571,0.5973715651135006,0.9004949650110939,0.0,0.8888888888888888,0.9032258064516129
test,ZHAA,91,0.5824175824175825,0.4101921470342523,0.6517943209672533,0.0,0.47619047619047616,0.7543859649122807
