split,error_type,class_id,support,predicted_count,correct,precision,recall,f1
val,addition,0,30,71,9,0.1267605633802817,0.3,0.1782178217821782
val,deletion,1,177,204,135,0.6617647058823529,0.7627118644067796,0.7086614173228346
val,substitution,2,304,236,197,0.8347457627118644,0.6480263157894737,0.7296296296296296
test,addition,0,19,38,5,0.13157894736842105,0.2631578947368421,0.17543859649122806
test,deletion,1,115,140,85,0.6071428571428571,0.7391304347826086,0.6666666666666666
test,substitution,2,199,155,122,0.7870967741935484,0.6130653266331658,0.6892655367231638
