epoch,train_loss,validation_loss,per,exact_sequence_accuracy,binary_macro_f1,balanced_accuracy,deletion_precision,deletion_recall,deletion_f1,substitution_false_deletion,three_relation_macro_f1,decoded_target_ratio,blank_argmax_occupancy,epoch_seconds
12,1.8356021980318726,1.8593494040625436,0.5732210990048381,0.1724896480331263,0.49495718938520594,0.6292423872970865,0.07187092568448501,0.4824945295404814,0.1251063829787234,0.23423423423423423,0.3340188729900897,0.8052157495181529,0.821333505764727,29.20045609999943
13,1.7799379249598328,1.8222293828461729,0.5673209298666562,0.17533643892339545,0.49876326435608404,0.6269332306563321,0.07299145299145299,0.4671772428884026,0.12625665286812537,0.20833333333333334,0.3384255236725983,0.8191401486842623,0.8168901887878498,29.762814800000342
14,1.7277809453557518,1.7918441130260996,0.54053416197931,0.182324016563147,0.5119710700520258,0.6295503064085649,0.07967735589218965,0.4431072210065646,0.13506753376688344,0.18543543543543545,0.3545987258438372,0.8554065216536207,0.8106090680312358,29.51876340000308
15,1.6833906957339049,1.7416270235187026,0.5341619793100736,0.19914596273291926,0.5122457452002422,0.6408394473172564,0.08170985435975033,0.4726477024070022,0.13933236574746008,0.19481981981981983,0.35663044230064184,0.8431341698462023,0.8140679461492021,29.988818800000445
16,1.6464407389744218,1.734094082198528,0.5442709357668253,0.18969979296066253,0.5031281992499201,0.62347825342255,0.0742691120392228,0.4474835886214442,0.12739448684005605,0.21058558558558557,0.3483060077005548,0.8333398890768202,0.8151158598747189,30.149392100000114
17,1.6042778035783336,1.6779647596627782,0.5220076308854187,0.20108695652173914,0.5095486742869313,0.631149958027462,0.07869226382816955,0.45295404814004375,0.13408906882591093,0.20608108108108109,0.3598688144822521,0.8421508083231719,0.8141082886020281,30.71203279999827
18,1.576325664001752,1.6644003806215388,0.5225189788773945,0.20341614906832298,0.5147931517424367,0.6384603794820091,0.08269495187585936,0.46061269146608314,0.14021648626144878,0.19444444444444445,0.36219497456528077,0.8503717106557055,0.8121962751730444,30.618694299999333
19,1.5436839992119176,1.6757102865980278,0.5215356173543642,0.20600414078674947,0.5185860535245901,0.6411780937866097,0.08529650690495533,0.45951859956236324,0.14388489208633093,0.18656156156156156,0.36052723049879853,0.8587499508319238,0.8098646756994304,29.266665999999532
20,1.5213226210815132,1.6129054454296026,0.50875191755497,0.21920289855072464,0.5148030237337181,0.6504306004547478,0.08461827754795036,0.4923413566739606,0.14441591784338895,0.20382882882882883,0.36938977503626774,0.8398300751288204,0.8153840867613537,30.378020000000106
21,1.4905172912637072,1.6339649182915934,0.5079652283365457,0.2138975155279503,0.5305398373201263,0.6505396954858584,0.09442446043165467,0.45951859956236324,0.1566579634464752,0.16741741741741742,0.3738900849371723,0.8799512252684577,0.805626362859123,30.22227959999873
22,1.466408538132094,1.5784345954101278,0.4985642921763757,0.2247670807453416,0.5173047920304265,0.6462960278821939,0.08536106750392465,0.4759299781181619,0.1447587354409318,0.19594594594594594,0.37139142192560554,0.8480903119222751,0.8141825047184715,30.274217899997893
23,1.4461587056498355,1.6027443766840743,0.49986232938677577,0.22826086956521738,0.5225606017051887,0.650544149661685,0.08913934426229508,0.4759299781181619,0.15015533310321022,0.1921921921921922,0.3751979959738694,0.8601659914250875,0.8105747198712998,29.656042499998875
24,1.4239845313124935,1.5847188948536017,0.48817999449317545,0.21441511387163562,0.5349436778733356,0.6513285364800443,0.09775678866587957,0.45295404814004375,0.16080792386871237,0.1692942942942943,0.38754671160585824,0.8906895330999489,0.8047903301290721,30.3152869000005
25,1.3979826574872813,1.54937837956238,0.4858199268379027,0.23783643892339545,0.5265549816259821,0.6657201291995024,0.09385113268608414,0.5076586433260394,0.15841584158415842,0.19932432432432431,0.38119055875209645,0.8531644573811116,0.8138670218071089,30.702164999998786
26,1.382084489315959,1.5442489417381662,0.4734295716477206,0.23382505175983437,0.5395983866632128,0.6649850180460826,0.10302745834311194,0.4803063457330416,0.16966183574879226,0.17454954954954954,0.39348191278927575,0.886480745781379,0.8055354468138816,30.03885359999913
27,1.3658493125605125,1.5303419486274383,0.4705974904613932,0.23317805383022774,0.5408347346158392,0.6691843805868168,0.10448807854137447,0.4890590809628009,0.1721879815100154,0.1737987987987988,0.39432595439323376,0.8850253707272941,0.8061166905314039,30.994613200000458
28,1.351121320767892,1.5106225086850409,0.47146284860165993,0.2346014492753623,0.5345852561256366,0.668034256442266,0.09962776439675936,0.49781181619256015,0.16602809706257982,0.18768768768768768,0.3903460086121249,0.8727136844589545,0.8077141020531857,30.1805803999996
29,1.329842957456699,1.5287248354952774,0.47162018644534476,0.22722567287784678,0.5382983571060085,0.6607463210444272,0.10150730098916627,0.47155361050328226,0.16705426356589148,0.17642642642642642,0.3922454308368358,0.8851040396491366,0.8081015982350824,31.01738589999877
30,1.3215998327814937,1.5022077794277398,0.4645006490186052,0.24456521739130435,0.5385694584012608,0.6572192808403907,0.10129620739318292,0.4617067833698031,0.16614173228346457,0.1704204204204204,0.3955309891879338,0.8901388506470519,0.8049689744585666,30.302140799998597
31,1.2993167029864763,1.5157622772405854,0.47704834205247215,0.23667184265010352,0.530079270840473,0.6646711600335022,0.09603208104685522,0.49781181619256015,0.16100495399858458,0.18768768768768768,0.38655500271436644,0.8638240962907603,0.8099576665886811,29.674210299999686
32,1.2894357748302603,1.4660269762418285,0.4586791488022657,0.25012939958592134,0.5435121024680841,0.6672897205110107,0.10643985419198056,0.47921225382932164,0.1741896997414993,0.17154654654654655,0.4006280749597883,0.8932069385989065,0.8048720394201407,30.898109699999623
33,1.2675009773727623,1.473098782834059,0.46017385831727176,0.24715320910973085,0.5404125349239873,0.6823040586536201,0.1056695345245974,0.524070021881838,0.17587662933724987,0.18618618618618618,0.3983988522632242,0.8731463635290878,0.8103264618518436,30.357540799999697
34,1.2586402102321472,1.4556132766339103,0.45812846634936866,0.2520703933747412,0.5444517174301399,0.6725205367630458,0.10777724435909745,0.4912472647702407,0.1767716535433071,0.17492492492492492,0.40040253470671133,0.8895881681941549,0.805361808942897,29.425710600000457
35,1.2471152663971417,1.4757750360121638,0.45332966211698067,0.24547101449275363,0.5557120511748461,0.6623086393538613,0.11712230215827338,0.44529540481400437,0.18546365914786966,0.14977477477477477,0.40965314650758683,0.9249105141014042,0.7974599758953658,29.854044200001226
36,1.2318178906315507,1.4589221112538076,0.45824646973213234,0.2510351966873706,0.5494463016190301,0.6889282788178075,0.1136094674556213,0.5251641137855579,0.18680677174547577,0.16966966966966968,0.40551614233714534,0.8872674349998033,0.8045547338314432,30.615313700000115
